run,step,score
1,450,150.0
2,682,110.0
3,606,120.0
4,887,215.0
5,798,155.0
6,802,140.0
7,363,30.0
8,1137,215.0
9,660,110.0
10,650,55.0
11,590,125.0
12,536,120.0
13,652,215.0
14,398,30.0
15,480,90.0
16,718,180.0
17,642,80.0
18,624,80.0
19,970,405.0
20,769,140.0
21,642,140.0
22,728,155.0
23,466,135.0
24,734,135.0
25,862,215.0
26,632,50.0
27,981,225.0
28,901,185.0
29,1389,485.0
30,367,50.0
31,631,115.0
32,339,70.0
33,362,110.0
34,951,180.0
35,1021,415.0
36,748,155.0
37,1207,405.0
38,656,190.0
39,608,45.0
40,408,80.0
41,592,105.0
42,604,180.0
43,1027,190.0
44,659,125.0
45,629,155.0
46,445,65.0
47,673,180.0
48,520,110.0
49,918,210.0
50,857,460.0
51,489,120.0
52,703,210.0
53,501,50.0
54,382,35.0
55,423,30.0
56,919,250.0
57,764,180.0
58,1050,235.0
59,674,60.0
60,764,155.0
61,861,210.0
62,820,210.0
63,790,205.0
64,693,135.0
65,610,125.0
66,592,90.0
67,513,120.0
68,469,65.0
69,479,135.0
70,376,50.0
71,696,250.0
72,620,165.0
73,483,60.0
74,616,110.0
75,517,110.0
76,666,180.0
77,814,145.0
78,362,65.0
79,974,215.0
80,1138,240.0
81,763,160.0
82,539,70.0
83,452,55.0
84,398,75.0
85,380,85.0
86,917,190.0
87,478,35.0
88,824,145.0
89,356,90.0
90,631,155.0
91,366,75.0
92,488,75.0
93,694,115.0
94,535,35.0
95,933,370.0
96,367,65.0
97,616,210.0
98,1125,385.0
99,906,345.0
100,583,110.0
101,635,110.0
102,492,80.0
103,490,110.0
104,622,80.0
105,693,70.0
106,370,60.0
107,1083,355.0
108,1329,260.0
109,645,120.0
110,517,110.0
111,854,245.0
112,758,150.0
113,616,125.0
114,386,20.0
115,388,20.0
116,499,15.0
117,762,115.0
118,397,75.0
119,648,135.0
120,731,165.0
121,1285,195.0
122,691,135.0
123,443,40.0
124,601,120.0
125,385,80.0
126,1071,285.0
127,550,105.0
128,588,65.0
129,720,120.0
130,415,75.0
131,558,65.0
132,658,90.0
133,926,485.0
134,618,105.0
135,398,35.0
136,373,80.0
137,665,115.0
138,972,270.0
139,755,160.0
140,609,145.0
141,597,150.0
142,635,115.0
143,900,445.0
144,461,80.0
145,503,50.0
146,682,180.0
147,643,155.0
148,607,110.0
149,502,30.0
150,473,110.0
151,738,120.0
152,606,110.0
153,1088,190.0
154,877,100.0
155,387,105.0
156,536,155.0
157,457,120.0
158,878,215.0
159,637,105.0
160,806,155.0
161,495,130.0
162,398,90.0
163,895,210.0
164,627,155.0
165,728,215.0
166,697,310.0
167,358,65.0
168,841,225.0
169,635,115.0
170,622,105.0
171,403,60.0
172,377,45.0
173,702,180.0
174,682,105.0
175,600,120.0
176,761,165.0
177,882,155.0
178,338,35.0
179,540,30.0
180,673,155.0
181,664,145.0
182,636,180.0
183,1226,455.0
184,917,140.0
185,788,145.0
186,343,85.0
187,614,110.0
188,668,135.0
189,711,135.0
190,912,225.0
191,319,70.0
192,783,140.0
193,514,75.0
194,743,135.0
195,455,65.0
196,457,45.0
197,737,155.0
198,928,230.0
199,701,210.0
200,387,110.0
201,659,155.0
202,677,155.0
203,834,215.0
204,712,180.0
