run,step,score
394,531,60.0
395,486,110.0
396,843,390.0
397,462,105.0
398,657,165.0
399,409,75.0
400,573,95.0
401,630,205.0
402,502,160.0
403,371,120.0
404,602,115.0
405,1484,320.0
406,651,105.0
407,720,225.0
408,632,120.0
409,809,165.0
410,802,185.0
411,398,65.0
412,906,180.0
413,855,440.0
414,682,115.0
415,1370,585.0
416,648,200.0
417,645,135.0
418,884,310.0
419,783,180.0
420,650,80.0
421,278,10.0
422,887,125.0
423,386,45.0
424,828,185.0
425,545,60.0
426,777,260.0
427,538,110.0
428,647,165.0
429,883,95.0
430,744,125.0
431,656,140.0
432,694,115.0
433,575,115.0
434,692,110.0
435,386,55.0
436,670,125.0
437,813,315.0
438,515,50.0
439,396,20.0
440,455,110.0
441,360,50.0
442,648,205.0
443,684,220.0
444,906,215.0
445,618,120.0
446,608,165.0
447,786,240.0
448,768,210.0
449,1178,395.0
450,445,110.0
451,1205,210.0
452,833,215.0
453,364,75.0
454,301,40.0
455,826,165.0
456,463,125.0
457,498,105.0
458,596,55.0
459,616,90.0
460,632,130.0
461,511,120.0
462,935,325.0
463,629,165.0
464,636,135.0
465,1667,640.0
466,820,395.0
467,759,200.0
468,365,55.0
469,980,260.0
470,343,50.0
471,532,55.0
472,645,185.0
473,635,135.0
474,378,115.0
475,687,125.0
476,758,230.0
477,676,115.0
478,797,240.0
479,279,10.0
480,922,225.0
481,964,260.0
482,1115,240.0
483,974,245.0
484,641,155.0
485,1180,380.0
486,480,65.0
487,300,10.0
488,484,105.0
489,984,230.0
490,1428,325.0
491,777,130.0
492,372,30.0
493,711,150.0
494,789,155.0
495,636,105.0
496,886,155.0
497,602,100.0
498,821,235.0
499,573,240.0
500,600,140.0
501,655,160.0
502,673,140.0
503,1026,170.0
504,1417,285.0
505,614,115.0
506,1056,325.0
507,1071,480.0
508,372,20.0
509,661,205.0
510,397,65.0
511,519,90.0
512,790,210.0
513,516,10.0
514,786,195.0
515,473,80.0
516,775,220.0
517,798,180.0
518,566,105.0
519,425,60.0
520,1061,165.0
521,771,160.0
522,327,75.0
523,818,260.0
524,513,120.0
525,677,155.0
526,843,150.0
527,830,245.0
528,622,170.0
529,686,125.0
530,1225,260.0
531,745,135.0
532,766,135.0
533,619,155.0
534,361,80.0
535,858,410.0
536,772,180.0
537,625,100.0
538,464,85.0
539,763,300.0
540,465,45.0
541,696,335.0
542,369,75.0
543,639,140.0
544,346,50.0
545,917,395.0
546,648,135.0
547,649,120.0
